 size 	 write 	 read
   1KB	   1264	   1294
   1KB	   1190	   1210
   1KB	   1197	   1120
   1KB	   1117	   1131
   8KB	   1272	   1242
   8KB	   1170	   1227
   8KB	   1665	   1503
   8KB	   1241	   1177
  64KB	   1741	   1860
  64KB	   1838	   1865
  64KB	   2124	   1913
  64KB	   2105	   1672
 512KB	   6702	   6561
 512KB	   6484	   6543
 512KB	   6527	   6346
 512KB	   6614	   6876
   4MB	  41907	  47632
   4MB	  40374	  47655
   4MB	  43426	  50506
   4MB	  42218	  52837
  32MB	 320867	 435222
  32MB	 331782	 435465
  32MB	 335320	 415473
  32MB	 333891	 425747
 256MB	2380312	3155687
 256MB	2430642	3303321
 256MB	2604661	3174279
 256MB	2554129	3329899
