   1KB	   1947	   1846
   1KB	   2385	   1872
   1KB	   2711	   1849
   1KB	   2859	   1811
   8KB	   2731	   2041
   8KB	   2115	   1594
   8KB	   2482	   1803
   8KB	   2777	   1761
  64KB	   3240	   2532
  64KB	   3443	   2317
  64KB	   2755	   2413
  64KB	   2865	   2615
 512KB	   8095	   7621
 512KB	   9151	   7621
 512KB	   9309	   7635
 512KB	   9352	   7479
   4MB	  47852	  55552
   4MB	  53754	  53829
   4MB	  60314	  49546
   4MB	  58342	  50193
  32MB	 354895	 419378
  32MB	 401384	 419304
  32MB	 404447	 419125
  32MB	 403588	 410262
 256MB	2734952	3350543
 256MB	3231702	3440733
 256MB	3149477	3427601
 256MB	3157298	3372796
